
DECIMAL       HEXADECIMAL     DESCRIPTION
--------------------------------------------------------------------------------
1280          0x500           Copyright string: "Copyright 2003-2004 Atheros Communications, Inc."
25118         0x621E          Unix path: /depot/sw/releases/4.0/src/ap/os/vxworks/target/config/ar531xPlus/ar531xPlus.h#1 $
25216         0x6280          VxWorks operating system version "5.4.2" , compiled: "Apr 26 2006, 17:10:39"
25920         0x6540          Copyright string: "Copyright 1984-1996 Wind River Systems, Inc."
26769         0x6891          Zlib compressed data, default compression
396320        0x60C20         gzip compressed data, has original file name: "lastpassword.htm", from NTFS filesystem (NT), last modified: 2006-03-30 09:05:01
396516        0x60CE4         gzip compressed data, has original file name: "Log.htm", from NTFS filesystem (NT), last modified: 2006-05-04 10:21:12
407350        0x63736         gzip compressed data, has original file name: "md5.js", from NTFS filesystem (NT), last modified: 2006-03-30 09:05:01
409222        0x63E86         gzip compressed data, has original file name: "OutLog.htm", from NTFS filesystem (NT), last modified: 2006-05-04 10:21:12
410060        0x641CC         gzip compressed data, has original file name: "ping.htm", from NTFS filesystem (NT), last modified: 2006-03-30 09:05:01
411657        0x64809         GIF image data, version "87a", 82 x 44
412973        0x64D2D         GIF image data, version "89a", 82 x 44
414264        0x65238         gzip compressed data, has original file name: "ptrigger.htm", from NTFS filesystem (NT), last modified: 2006-05-04 10:21:12
418596        0x66324         gzip compressed data, has original file name: "qos.htm", from NTFS filesystem (NT), last modified: 2006-04-12 06:01:16
424626        0x67AB2         HTML document header
666385        0xA2B11         HTML document footer
666398        0xA2B1E         gzip compressed data, has original file name: "reset.htm", from NTFS filesystem (NT), last modified: 2006-03-30 09:05:01
667731        0xA3053         gzip compressed data, has original file name: "Routing.htm", from NTFS filesystem (NT), last modified: 2006-05-04 10:21:12
672961        0xA44C1         gzip compressed data, has original file name: "RTable.htm", from NTFS filesystem (NT), last modified: 2006-05-04 10:21:12
673859        0xA4843         gzip compressed data, has original file name: "Service.htm", from NTFS filesystem (NT), last modified: 2006-04-26 03:11:33
676374        0xA5216         GIF image data, version "89a", 50 x 50
677361        0xA55F1         gzip compressed data, has original file name: "StaLan.htm", from NTFS filesystem (NT), last modified: 2006-05-04 10:21:13
682871        0xA6B77         gzip compressed data, has original file name: "StaRouter.htm", from NTFS filesystem (NT), last modified: 2006-04-25 06:39:04
687832        0xA7ED8         gzip compressed data, has original file name: "StaWlan.htm", from NTFS filesystem (NT), last modified: 2006-04-04 06:45:18
694279        0xA9807         gzip compressed data, has original file name: "summary.htm", from NTFS filesystem (NT), last modified: 2006-05-04 10:21:13
695913        0xA9E69         gzip compressed data, has original file name: "sysinfo.htm", from NTFS filesystem (NT), last modified: 2006-03-30 09:05:03
